suite,mode,backend,kernel,n,block_size,divergence_degree,iterations,elapsed_ms,threads_launched,elements_per_thread,useful_ops,throughput_gops,gflops_est,slowdown_vs_uniform,resident_blocks_per_sm_est,active_warps_per_sm_est,max_warps_per_sm,occupancy_est,active_warps_measured,max_warps_measured,occupancy_measured
compute,divergence-gpu,gpu,divergent,524288,32,8,512,2.2178367614746093,524288,1.0,2147483648,968.2784979053946,968.2784979053946,7.2275012471180125,16,16,32,0.5,,,
compute,divergence-gpu,gpu,divergent,524288,32,16,512,4.318758392333985,524288,1.0,2147483648,497.24560925007813,497.24560925007813,14.073998685927457,16,16,32,0.5,,,
compute,divergence-gpu,gpu,divergent,524288,32,32,512,8.507219314575195,524288,1.0,2147483648,252.43073777594668,252.43073777594668,27.723383106301075,16,16,32,0.5,,,
compute,uniform,gpu,uniform,524288,64,1,512,0.3091776013374329,524288,1.0,2147483648,6945.7930933886155,6945.7930933886155,1.0,16,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,524288,64,2,512,0.6115455985069275,524288,1.0,2147483648,3511.5674992069685,3511.5674992069685,1.9779751051224879,16,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,524288,64,4,512,1.14268798828125,524288,1.0,2147483648,1879.3263515704687,1879.3263515704687,3.695895120921562,16,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,524288,64,8,512,2.2030079841613768,524288,1.0,2147483648,974.7961257695971,974.7961257695971,7.125380281856314,16,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,524288,64,16,512,4.307846450805664,524288,1.0,2147483648,498.50515159340745,498.50515159340745,13.933242357049437,16,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,524288,64,32,512,8.678099250793457,524288,1.0,2147483648,247.46013913169418,247.46013913169418,28.06833099569292,16,32,32,1.0,,,
compute,uniform,gpu,uniform,524288,128,1,512,0.30798080563545227,524288,1.0,2147483648,6972.784045970426,6972.784045970426,1.0,8,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,524288,128,2,512,0.6065600037574768,524288,1.0,2147483648,3540.430682367637,3540.430682367637,1.9694733978826064,8,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,524288,128,4,512,1.1290112018585206,524288,1.0,2147483648,1902.0924189812483,1902.0924189812483,3.6658492386531956,8,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,524288,128,8,512,2.175321578979492,524288,1.0,2147483648,987.2028433641744,987.2028433641744,7.063172571716549,8,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,524288,128,16,512,4.293446445465088,524288,1.0,2147483648,500.17711302030074,500.17711302030074,13.940629957787412,8,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,524288,128,32,512,8.5146240234375,524288,1.0,2147483648,252.21121239044726,252.21121239044726,27.646606111927664,8,32,32,1.0,,,
compute,uniform,gpu,uniform,524288,256,1,512,0.32784640192985537,524288,1.0,2147483648,6550.273650584296,6550.273650584296,1.0,4,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,524288,256,2,512,0.6170368075370789,524288,1.0,2147483648,3480.3169304789867,3480.3169304789867,1.8820911375110883,4,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,524288,256,4,512,1.1404671907424926,524288,1.0,2147483648,1882.9859073823045,1882.9859073823045,3.4786631301401383,4,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,524288,256,8,512,2.195904016494751,524288,1.0,2147483648,977.9496880869852,977.9496880869852,6.697965887588351,4,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,524288,256,16,512,4.292819213867188,524288,1.0,2147483648,500.25019480506813,500.25019480506813,13.09399520201433,4,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,524288,256,32,512,8.452633476257324,524288,1.0,2147483648,254.06089759269528,254.06089759269528,25.782297522563063,4,32,32,1.0,,,
compute,uniform,gpu,uniform,524288,512,1,512,0.3130368053913116,524288,1.0,2147483648,6860.163440894876,6860.163440894876,1.0,2,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,524288,512,2,512,0.6152640104293823,524288,1.0,2147483648,3490.3449764619054,3490.3449764619054,1.9654685961296838,2,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,524288,512,4,512,1.1486464023590088,524288,1.0,2147483648,1869.5776555688938,1869.5776555688938,3.6693653352459417,2,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,524288,512,8,512,2.191353607177734,524288,1.0,2147483648,979.9804289759355,979.9804289759355,7.000306575574821,2,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,524288,512,16,512,4.316556835174561,524288,1.0,2147483648,497.49921754781116,497.49921754781116,13.789294935394736,2,32,32,1.0,,,
