suite,access_pattern,pattern,n,logical_n,input_elements,block_size,stride,elapsed_ms,bytes_read,bytes_written,index_bytes_read,effective_bytes,bandwidth_gbs,bandwidth_gbs_est,peak_bandwidth_gbs,peak_bandwidth_pct,flops_per_byte_est,resident_blocks_per_sm_est,active_warps_per_sm_est,max_warps_per_sm,occupancy_est,active_warps_measured,max_warps_measured,occupancy_measured
memory,strided,strided,131072,131072,4194304,1024,1,0.07799040079116822,524288,524288,0,1048576,13.444936676344696,13.444936676344696,495.0,2.7161488235039792,0.125,1,32,32,1.0,,,
memory,strided,strided,131072,131072,4194304,1024,2,0.08123519867658616,524288,524288,0,1048576,12.907902203509025,12.907902203509025,495.0,2.607657010809904,0.125,1,32,32,1.0,,,
memory,strided,strided,131072,131072,4194304,1024,4,0.08851840049028396,524288,524288,0,1048576,11.8458534518492,11.8458534518492,495.0,2.393101707444283,0.125,1,32,32,1.0,,,
memory,strided,strided,131072,131072,4194304,1024,8,0.4108671903610229,524288,524288,0,1048576,2.552104486801761,2.552104486801761,495.0,0.5155766640003558,0.125,1,32,32,1.0,,,
memory,strided,strided,131072,131072,4194304,1024,16,0.7572224020957947,524288,524288,0,1048576,1.384766215444517,1.384766215444517,495.0,0.27975075059485194,0.125,1,32,32,1.0,,,
memory,strided,strided,131072,131072,4194304,1024,32,0.6328640103340148,524288,524288,0,1048576,1.6568741196810663,1.6568741196810663,495.0,0.3347220443800134,0.125,1,32,32,1.0,,,
memory,random_gather,random_gather,131072,131072,4194304,1024,0,0.7341567993164062,524288,524288,524288,1572864,2.1424088171144606,2.1424088171144606,495.0,0.4328098620433254,0.08333333333333333,1,32,32,1.0,,,
memory,coalesced,coalesced,262144,262144,8388608,32,1,0.12474880069494247,1048576,1048576,0,2097152,16.810999290713198,16.810999290713198,495.0,3.3961614728713534,0.125,16,16,32,0.5,,,
memory,strided,strided,262144,262144,8388608,32,1,0.12886400073766707,1048576,1048576,0,2097152,16.274149397776693,16.274149397776693,495.0,3.2877069490457966,0.125,16,16,32,0.5,,,
memory,strided,strided,262144,262144,8388608,32,2,0.1275840014219284,1048576,1048576,0,2097152,16.437421437070192,16.437421437070192,495.0,3.32069119940812,0.125,16,16,32,0.5,,,
memory,strided,strided,262144,262144,8388608,32,4,0.4620288074016571,1048576,1048576,0,2097152,4.539007019484124,4.539007019484124,495.0,0.9169711150472979,0.125,16,16,32,0.5,,,
memory,strided,strided,262144,262144,8388608,32,8,1.3922431945800782,1048576,1048576,0,2097152,1.5063115468361352,1.5063115468361352,495.0,0.304305362997199,0.125,16,16,32,0.5,,,
memory,strided,strided,262144,262144,8388608,32,16,1.7902591705322266,1048576,1048576,0,2097152,1.1714236879884476,1.1714236879884476,495.0,0.23665125009867627,0.125,16,16,32,0.5,,,
memory,strided,strided,262144,262144,8388608,32,32,1.3833024024963378,1048576,1048576,0,2097152,1.5160473922516389,1.5160473922516389,495.0,0.3062722004548765,0.125,16,16,32,0.5,,,
memory,random_gather,random_gather,262144,262144,8388608,32,0,1.5738559722900392,1048576,1048576,1048576,3145728,1.9987394370164688,1.9987394370164688,495.0,0.4037857448518119,0.08333333333333333,16,16,32,0.5,,,
memory,coalesced,coalesced,262144,262144,8388608,64,1,0.0938624009490013,1048576,1048576,0,2097152,22.342833539272615,22.342833539272615,495.0,4.513703745307599,0.125,16,32,32,1.0,,,
memory,strided,strided,262144,262144,8388608,64,1,0.09412480145692825,1048576,1048576,0,2097152,22.28054633357885,22.28054633357885,495.0,4.501120471430071,0.125,16,32,32,1.0,,,
memory,strided,strided,262144,262144,8388608,64,2,0.09434880018234253,1048576,1048576,0,2097152,22.227648851357458,22.227648851357458,495.0,4.490434111385345,0.125,16,32,32,1.0,,,
memory,strided,strided,262144,262144,8388608,64,4,0.48479360342025757,1048576,1048576,0,2097152,4.325865657476553,4.325865657476553,495.0,0.8739122540356671,0.125,16,32,32,1.0,,,
